,deleted_responses,condition,article,consent,consent2,have_facebook_q,believe_climate_change_q,believer_doubter,post_trustworthy,post_accurate,like_post,share_post,recognize_source,burning_oil_co2,nuclear_power_co2,co2_methane,global_co2_increase,climate_change_human_activities,last_century_global_increase,today_concentration_already_occured,scientists_expect_warming_increase_melting,scientists_expect_increase_extreme_events,scientists_expect_increase_water_evap,scientists_expect_climate_change_evenly,feelings_toward_fb,gender,gender_text,age,education,politics,politics_text,conservative,post_type,post_trust
0,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,3.6,10.8,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,Do not know,2.5,Female,,42.0,Associate degree in college (2-year),Independent,,Moderate,Real,10.0
1,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,9.1,5.0,10.1,Yes,Correct,Correct,Do not know,Correct,Incorrect,Correct,Do not know,Correct,Correct,Correct,Incorrect,3.1,Male,,59.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Real,9.55
2,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.1,9.1,2.2,7.2,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Correct,-0.9,Male,,38.0,Bachelor's degree in college (4-year),Independent,,Moderate,Real,9.1
3,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,11.0,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,Do not know,-2.4,Male,,23.0,High school graduate (high school diploma or equivalent including GED),Independent,,Not sure/not interested in politics,Real,10.0
5,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,8.3,4.4,10.6,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,-3.0,Male,,31.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Real,8.2
6,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.2,4.1,3.2,10.8,Yes,Do not know,Do not know,Do not know,Do not know,Incorrect,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,0.0,Female,,44.0,Some college but no degree,Democrat,,Moderate,Real,5.65
8,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.0,8.2,1.6,11.0,Yes,Do not know,Do not know,Do not know,Correct,Incorrect,Correct,Correct,Do not know,Correct,Do not know,Incorrect,1.1,Female,,58.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Real,7.6
9,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,10.0,5.0,10.6,Yes,Correct,Incorrect,Do not know,Do not know,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,3.3,Female,,58.0,Graduate or professional degree,Democrat,,Moderate,Real,10.0
10,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,2.1,7.1,Yes,Correct,Do not know,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-1.6,Female,,35.0,Bachelor's degree in college (4-year),Democrat,,Very liberal,Real,10.0
11,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,8.0,Yes,Correct,Do not know,Do not know,Correct,Correct,Do not know,Do not know,Correct,Correct,Incorrect,Do not know,1.1,Male,,70.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Real,10.0
